02470bb8-04eb-4f4c-9d93-18001d9a4ff2	video	960x540	10.041667	assets/wardrobe/loops/02470bb8-04eb-4f4c-9d93-18001d9a4ff2.mp4
05712c8d-6a0d-4d9e-bc7c-248bd39b9afd	video	960x540	15.041667	assets/wardrobe/loops/05712c8d-6a0d-4d9e-bc7c-248bd39b9afd.mp4
061da1b4-824a-4832-9285-d6cd24094e0c	still	960x1440		assets/wardrobe/stills/061da1b4-824a-4832-9285-d6cd24094e0c.webp
06b246b1-8693-4d9b-8293-f5d0367c3367	still	960x640		assets/wardrobe/stills/06b246b1-8693-4d9b-8293-f5d0367c3367.webp
0707f964-7a62-4423-bca9-f5f81e11aeda	video	540x822	6.041667	assets/wardrobe/loops/0707f964-7a62-4423-bca9-f5f81e11aeda.mp4
083ee255-00f9-4d06-ac74-f958610699fc	still	960x1440		assets/wardrobe/stills/083ee255-00f9-4d06-ac74-f958610699fc.webp
0ee41b1d-343b-4605-ad2b-eb7b2f46d468	still	960x1440		assets/wardrobe/stills/0ee41b1d-343b-4605-ad2b-eb7b2f46d468.webp
117c04f6-d2af-486d-baad-ff7c11bc73cf	still	960x540		assets/wardrobe/stills/117c04f6-d2af-486d-baad-ff7c11bc73cf.webp
12bf7c6e-75a5-4cf7-a0f4-f5563626a511	video	540x960	6.041667	assets/wardrobe/loops/12bf7c6e-75a5-4cf7-a0f4-f5563626a511.mp4
1359d12c-acca-4f53-9958-78becaf74d2e	still	960x540		assets/wardrobe/stills/1359d12c-acca-4f53-9958-78becaf74d2e.webp
13731dc3-c798-4f2c-aabb-4364bcdd6364	still	810x1440		assets/wardrobe/stills/13731dc3-c798-4f2c-aabb-4364bcdd6364.webp
15838261-822e-48f6-b4ac-ac187a961901	still	810x1440		assets/wardrobe/stills/15838261-822e-48f6-b4ac-ac187a961901.webp
199fb6ee-19ab-4435-8b00-a3da1526f54f	video	960x540	10.041667	assets/wardrobe/loops/199fb6ee-19ab-4435-8b00-a3da1526f54f.mp4
